date,disease,evapotranspiration,agb,cumulatedTemperature,cumulatedEvapotranspiration
14/06/2025,false,3.8239270156204417,1529.4735880962162,1842.140967853014,113.36963633650106
15/06/2025,false,3.771930415842305,1594.7653417010438,1869.6984653283675,117.14156675234337
16/06/2025,false,3.478929334321061,1658.386704541615,1897.3304776521688,120.62049608666443
17/06/2025,false,3.325012286277993,1715.936222514917,1925.2096622891418,123.94550837294243
18/06/2025,false,3.1167086675183953,1772.580522679338,1952.8858531257183,127.06221704046082
19/06/2025,false,2.790783038232978,1826.1492040314613,1980.7119980736866,129.8530000786938
20/06/2025,false,2.8440337260204007,1876.4775182069388,2008.5521386656176,132.6970338047142
21/06/2025,false,2.519129601416478,1925.3076105810485,2036.7057008294546,135.21616340613068
22/06/2025,false,2.4623699462624886,1970.912194863024,2064.700180430112,137.67853335239317
23/06/2025,false,2.1099372701343095,2012.102328408065,2092.739071449746,139.78847062252748
24/06/2025,false,1.9942465186578884,2053.3206126051587,2120.7288328550785,141.78271714118537
25/06/2025,false,1.9099109190263484,2090.802251516851,2148.618993264659,143.69262806021172
26/06/2025,false,1.7210054941299546,2124.973833333194,2176.6326011816464,145.4136335543417
27/06/2025,false,1.6671865608289416,2157.2641053229263,2204.6744847400037,147.08082011517064
28/06/2025,false,4.244076630524591,2237.6610337617262,2232.7247982125064,151.32489674569524
29/06/2025,false,4.137148399690847,2318.472535073109,2260.445706450075,155.4620451453861
30/06/2025,false,3.8571711685496046,2399.4942211072953,2288.3679940055404,159.3192163139357
01/07/2025,false,3.641323007142576,2468.1900032780663,2316.744264491566,162.96053932107827
02/07/2025,false,3.5868955279471253,2530.271732245781,2344.521021006882,166.5474348490254
03/07/2025,false,3.343830040537386,2584.630659552771,2372.789830363916,169.8912648895628
04/07/2025,false,3.2205579520843237,2643.17380198792,2399.908645845262,173.11182284164713
05/07/2025,false,3.006263805182205,2698.552415670667,2427.3266082604136,176.11808664682934
06/07/2025,false,2.7608800673993716,2744.960014978015,2455.2948207518098,178.8789667142287
07/07/2025,false,2.560303375597294,2785.0799305782457,2483.0811352080627,181.439270089826
08/07/2025,false,2.529565259175007,2820.3282290428506,2510.4276383344377,183.968835349001
09/07/2025,false,2.2407084734232683,2861.0735364794905,2538.440196887558,186.20954382242428
10/07/2025,false,2.2373789539260147,2894.7683915334283,2566.707095622102,188.4469227763503
11/07/2025,false,1.9112545231618239,2930.8884463756067,2594.441370257033,190.35817729951214
12/07/2025,false,1.8998636866796954,2963.1253909894463,2622.047469870853,192.25804098619184
13/07/2025,false,1.6717517648347748,2993.5080996570355,2649.234951739162,193.9297927510266
14/07/2025,false,1.6718633528177995,3020.3045759500883,2677.55765378795,195.60165610384442
15/07/2025,false,1.509933088433466,3045.290803496849,2705.0591896489545,197.11158919227788
16/07/2025,false,1.4789864597029803,3066.835601252546,2732.9436375836594,198.59057565198086
17/07/2025,false,1.2237958354939207,3090.350074146946,2760.7064830727286,199.81437148747477
18/07/2025,false,1.252082875358679,3112.376626459231,2787.772081649759,201.06645436283344
19/07/2025,false,1.1480320353184938,3132.364125184166,2815.332502356303,202.21448639815193
20/07/2025,false,1.0864343896780613,3152.073401142923,2842.8262710698227,203.30092078783
21/07/2025,false,0.9995960388014296,3169.382997281261,2870.857874988093,204.30051682663142
22/07/2025,false,0.9654468234953754,3185.474857988734,2898.334592330471,205.2659636501268
23/07/2025,false,0.8960694628948842,3200.0520074857427,2926.1559876221327,206.16203311302166
24/07/2025,false,0.8496543999549054,3214.038908375988,2953.613680413716,207.01168751297658
25/07/2025,false,0.7323674162218269,3227.9106684508993,2981.259019347631,207.7440549291984
26/07/2025,false,0.6776392689513813,3241.245223677731,3008.604063469562,208.4216941981498
27/07/2025,false,0.6932323887812778,3252.6087647863596,3036.4053364986758,209.11492658693106
28/07/2025,false,0.6491925777259933,3263.5642279062718,3064.3024983214,209.76411916465705
29/07/2025,false,0.6096387916089113,3274.0796777267756,3092.224274608653,210.37375795626596
30/07/2025,false,0.5787363390384506,3283.3997037290073,3120.951242643429,210.9524942953044
31/07/2025,false,0.5320886679535417,3292.440081247484,3149.138176561157,211.48458296325794
01/08/2025,false,0.4765397812310648,3299.3014736164355,3176.805593400066,211.961122744489
02/08/2025,false,0.461683042777499,3305.7941930011166,3204.1652594925417,212.4228057872665
03/08/2025,false,4.661691913651102,3367.6567328274714,3231.5018597680796,217.0844977009176
04/08/2025,false,4.392211514019855,3431.5520952762904,3259.258400897182,221.47670921493747
05/08/2025,false,4.071728112893729,3488.750704803907,3287.240239233703,225.5484373278312
06/08/2025,false,4.428932010881591,3560.7494477701057,3315.107473390044,229.9773693387128
07/08/2025,false,4.428932010881591,3560.7494477701057,3315.107473390044,229.9773693387128
08/08/2025,false,4.428932010881591,3560.7494477701057,3315.107473390044,229.9773693387128
